[1626187696414, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561267, 'o': '32583.46000000', 'c': '32572.49000000', 'h': '32583.46000000', 'l': '32572.49000000', 'v': '2.38952500', 'n': 91, 'x': False, 'q': '77844.69411359', 'V': '1.00863800', 'Q': '32859.90255605', 'B': '0'}]
[1626187698450, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561284, 'o': '32583.46000000', 'c': '32567.37000000', 'h': '32583.46000000', 'l': '32566.79000000', 'v': '2.61288500', 'n': 108, 'x': False, 'q': '85119.36696451', 'V': '1.12315600', 'Q': '36589.85277537', 'B': '0'}]
[1626187700713, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561298, 'o': '32583.46000000', 'c': '32567.38000000', 'h': '32583.46000000', 'l': '32566.79000000', 'v': '2.93773600', 'n': 122, 'x': False, 'q': '95698.91168075', 'V': '1.32359300', 'Q': '43117.56072043', 'B': '0'}]
[1626187703455, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561316, 'o': '32583.46000000', 'c': '32565.43000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.26085300', 'n': 140, 'x': False, 'q': '106221.44873774', 'V': '1.49883300', 'Q': '48824.38098628', 'B': '0'}]
[1626187705544, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561323, 'o': '32583.46000000', 'c': '32565.00000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.28401300', 'n': 147, 'x': False, 'q': '106975.67533275', 'V': '1.50867100', 'Q': '49144.75966466', 'B': '0'}]
[1626187708480, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561328, 'o': '32583.46000000', 'c': '32565.01000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.32681000', 'n': 152, 'x': False, 'q': '108369.35989491', 'V': '1.53438700', 'Q': '49982.20146182', 'B': '0'}]
[1626187708480, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561328, 'o': '32583.46000000', 'c': '32565.01000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.32681000', 'n': 152, 'x': False, 'q': '108369.35989491', 'V': '1.53438700', 'Q': '49982.20146182', 'B': '0'}]
[1626187710638, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561338, 'o': '32583.46000000', 'c': '32565.01000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.39476900', 'n': 162, 'x': False, 'q': '110582.44479561', 'V': '1.54095700', 'Q': '50196.15357752', 'B': '0'}]
[1626187710638, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561338, 'o': '32583.46000000', 'c': '32565.01000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.39476900', 'n': 162, 'x': False, 'q': '110582.44479561', 'V': '1.54095700', 'Q': '50196.15357752', 'B': '0'}]
[1626187713163, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561349, 'o': '32583.46000000', 'c': '32566.38000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.58886600', 'n': 173, 'x': False, 'q': '116903.31228109', 'V': '1.60035300', 'Q': '52130.46332069', 'B': '0'}]
[1626187713163, 'BTCUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561177, 'L': 954561349, 'o': '32583.46000000', 'c': '32566.38000000', 'h': '32583.46000000', 'l': '32564.74000000', 'v': '3.58886600', 'n': 173, 'x': False, 'q': '116903.31228109', 'V': '1.60035300', 'Q': '52130.46332069', 'B': '0'}]
