[1626187697487, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924025, 'o': '1977.22000000', 'c': '1975.62000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '29.98743000', 'n': 180, 'x': False, 'q': '59274.06558220', 'V': '8.56455000', 'Q': '16929.59854130', 'B': '0'}]
[1626187699782, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924036, 'o': '1977.22000000', 'c': '1975.63000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '31.33084000', 'n': 191, 'x': False, 'q': '61928.14298790', 'V': '9.85070000', 'Q': '19470.55194580', 'B': '0'}]
[1626187701962, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924050, 'o': '1977.22000000', 'c': '1975.62000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '34.43605000', 'n': 205, 'x': False, 'q': '68062.85795740', 'V': '12.06019000', 'Q': '23835.66465090', 'B': '0'}]
[1626187704093, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924066, 'o': '1977.22000000', 'c': '1975.62000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '38.47821000', 'n': 221, 'x': False, 'q': '76048.63009660', 'V': '16.10235000', 'Q': '31821.43679010', 'B': '0'}]
[1626187706314, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924073, 'o': '1977.22000000', 'c': '1975.62000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '41.24952000', 'n': 228, 'x': False, 'q': '81523.68549280', 'V': '18.86706000', 'Q': '37283.45316030', 'B': '0'}]
[1626187708377, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924086, 'o': '1977.22000000', 'c': '1975.44000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '47.67165000', 'n': 241, 'x': False, 'q': '94210.31624340', 'V': '22.12048000', 'Q': '43710.42200290', 'B': '0'}]
[1626187708377, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924086, 'o': '1977.22000000', 'c': '1975.44000000', 'h': '1977.36000000', 'l': '1975.43000000', 'v': '47.67165000', 'n': 241, 'x': False, 'q': '94210.31624340', 'V': '22.12048000', 'Q': '43710.42200290', 'B': '0'}]
[1626187710449, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924091, 'o': '1977.22000000', 'c': '1975.16000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '52.71996000', 'n': 246, 'x': False, 'q': '104181.76580600', 'V': '27.05444000', 'Q': '53455.99143650', 'B': '0'}]
[1626187710449, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924091, 'o': '1977.22000000', 'c': '1975.16000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '52.71996000', 'n': 246, 'x': False, 'q': '104181.76580600', 'V': '27.05444000', 'Q': '53455.99143650', 'B': '0'}]
[1626187712800, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924100, 'o': '1977.22000000', 'c': '1975.34000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '60.46930000', 'n': 255, 'x': False, 'q': '119489.04123540', 'V': '34.70378000', 'Q': '68565.73386590', 'B': '0'}]
[1626187712800, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924100, 'o': '1977.22000000', 'c': '1975.34000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '60.46930000', 'n': 255, 'x': False, 'q': '119489.04123540', 'V': '34.70378000', 'Q': '68565.73386590', 'B': '0'}]
[1626187714821, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924169, 'o': '1977.22000000', 'c': '1976.02000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '221.71819000', 'n': 324, 'x': False, 'q': '438133.22127360', 'V': '185.21267000', 'Q': '365985.98510410', 'B': '0'}]
[1626187714821, 'ETHUSDT', {'t': 1626187680000, 'T': 1626187739999, 's': 'ETHUSDT', 'i': '1m', 'f': 517923846, 'L': 517924169, 'o': '1977.22000000', 'c': '1976.02000000', 'h': '1977.36000000', 'l': '1975.16000000', 'v': '221.71819000', 'n': 324, 'x': False, 'q': '438133.22127360', 'V': '185.21267000', 'Q': '365985.98510410', 'B': '0'}]
[1626187851396, 'ETHUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'ETHUSDT', 'i': '1m', 'f': 517924706, 'L': 517924982, 'o': '1976.80000000', 'c': '1975.34000000', 'h': '1976.80000000', 'l': '1975.34000000', 'v': '142.76944000', 'n': 277, 'x': False, 'q': '282093.22463600', 'V': '73.17725000', 'Q': '144581.39052290', 'B': '0'}]
[1626187853716, 'ETHUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'ETHUSDT', 'i': '1m', 'f': 517924706, 'L': 517924990, 'o': '1976.80000000', 'c': '1975.35000000', 'h': '1976.80000000', 'l': '1975.34000000', 'v': '144.02104000', 'n': 285, 'x': False, 'q': '284565.56945980', 'V': '74.10523000', 'Q': '146414.47581590', 'B': '0'}]
[1626187855733, 'ETHUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'ETHUSDT', 'i': '1m', 'f': 517924706, 'L': 517924996, 'o': '1976.80000000', 'c': '1975.35000000', 'h': '1976.80000000', 'l': '1975.34000000', 'v': '151.91218000', 'n': 291, 'x': False, 'q': '300153.33285880', 'V': '81.99637000', 'Q': '162002.23921490', 'B': '0'}]
[1626187858191, 'ETHUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'ETHUSDT', 'i': '1m', 'f': 517924706, 'L': 517925005, 'o': '1976.80000000', 'c': '1975.35000000', 'h': '1976.80000000', 'l': '1975.34000000', 'v': '153.02715000', 'n': 300, 'x': False, 'q': '302355.78802720', 'V': '83.02923000', 'Q': '164042.49921590', 'B': '0'}]
[1626187860035, 'ETHUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'ETHUSDT', 'i': '1m', 'f': 517924706, 'L': 517925016, 'o': '1976.80000000', 'c': '1975.34000000', 'h': '1976.80000000', 'l': '1975.34000000', 'v': '174.05325000', 'n': 311, 'x': True, 'q': '343889.69453450', 'V': '104.04256000', 'Q': '205551.18063140', 'B': '0'}]
[1626187862074, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925049, 'o': '1975.35000000', 'c': '1975.35000000', 'h': '1975.36000000', 'l': '1975.35000000', 'v': '11.35028000', 'n': 33, 'x': False, 'q': '22420.78907020', 'V': '10.98527000', 'Q': '21699.76656670', 'B': '0'}]
[1626187862074, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925049, 'o': '1975.35000000', 'c': '1975.35000000', 'h': '1975.36000000', 'l': '1975.35000000', 'v': '11.35028000', 'n': 33, 'x': False, 'q': '22420.78907020', 'V': '10.98527000', 'Q': '21699.76656670', 'B': '0'}]
[1626187864284, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925064, 'o': '1975.35000000', 'c': '1975.35000000', 'h': '1975.36000000', 'l': '1975.34000000', 'v': '15.76360000', 'n': 48, 'x': False, 'q': '31138.63944980', 'V': '14.91152000', 'Q': '29455.48450420', 'B': '0'}]
[1626187864284, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925064, 'o': '1975.35000000', 'c': '1975.35000000', 'h': '1975.36000000', 'l': '1975.34000000', 'v': '15.76360000', 'n': 48, 'x': False, 'q': '31138.63944980', 'V': '14.91152000', 'Q': '29455.48450420', 'B': '0'}]
[1626187866369, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925069, 'o': '1975.35000000', 'c': '1975.34000000', 'h': '1975.36000000', 'l': '1975.34000000', 'v': '16.18954000', 'n': 53, 'x': False, 'q': '31980.01595940', 'V': '14.93052000', 'Q': '29493.01615420', 'B': '0'}]
[1626187866369, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925069, 'o': '1975.35000000', 'c': '1975.34000000', 'h': '1975.36000000', 'l': '1975.34000000', 'v': '16.18954000', 'n': 53, 'x': False, 'q': '31980.01595940', 'V': '14.93052000', 'Q': '29493.01615420', 'B': '0'}]
[1626187868735, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925092, 'o': '1975.35000000', 'c': '1975.31000000', 'h': '1975.36000000', 'l': '1975.31000000', 'v': '18.33507000', 'n': 76, 'x': False, 'q': '36218.15743170', 'V': '16.74201000', 'Q': '33071.31621610', 'B': '0'}]
[1626187868735, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925092, 'o': '1975.35000000', 'c': '1975.31000000', 'h': '1975.36000000', 'l': '1975.31000000', 'v': '18.33507000', 'n': 76, 'x': False, 'q': '36218.15743170', 'V': '16.74201000', 'Q': '33071.31621610', 'B': '0'}]
[1626187886686, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925269, 'o': '1975.35000000', 'c': '1974.60000000', 'h': '1975.36000000', 'l': '1974.59000000', 'v': '117.65196000', 'n': 253, 'x': False, 'q': '232364.57233980', 'V': '65.07830000', 'Q': '128528.51717260', 'B': '0'}]
[1626187889183, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925275, 'o': '1975.35000000', 'c': '1974.61000000', 'h': '1975.36000000', 'l': '1974.59000000', 'v': '120.28988000', 'n': 259, 'x': False, 'q': '237573.43535100', 'V': '67.69622000', 'Q': '133697.88818380', 'B': '0'}]
[1626187891779, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925305, 'o': '1975.35000000', 'c': '1974.60000000', 'h': '1975.36000000', 'l': '1974.46000000', 'v': '140.55567000', 'n': 289, 'x': False, 'q': '277588.96419070', 'V': '77.31195000', 'Q': '152683.91663950', 'B': '0'}]
[1626187894198, 'ETHUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925017, 'L': 517925343, 'o': '1975.35000000', 'c': '1974.42000000', 'h': '1975.36000000', 'l': '1974.36000000', 'v': '186.19145000', 'n': 327, 'x': False, 'q': '367692.73379440', 'V': '122.67013000', 'Q': '242239.54299550', 'B': '0'}]
[1626187993550, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517925997, 'o': '1975.76000000', 'c': '1975.72000000', 'h': '1975.84000000', 'l': '1975.50000000', 'v': '7.10095000', 'n': 127, 'x': False, 'q': '14029.57090350', 'V': '3.86883000', 'Q': '7643.78808350', 'B': '0'}]
[1626187996015, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926031, 'o': '1975.76000000', 'c': '1975.76000000', 'h': '1975.84000000', 'l': '1975.50000000', 'v': '10.05586000', 'n': 161, 'x': False, 'q': '19867.77487000', 'V': '4.86883000', 'Q': '9619.55906840', 'B': '0'}]
[1626187998564, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926050, 'o': '1975.76000000', 'c': '1975.73000000', 'h': '1975.84000000', 'l': '1975.50000000', 'v': '18.07422000', 'n': 180, 'x': False, 'q': '35709.85706040', 'V': '12.26966000', 'Q': '24241.58628610', 'B': '0'}]
[1626188000611, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926124, 'o': '1975.76000000', 'c': '1974.60000000', 'h': '1975.84000000', 'l': '1974.60000000', 'v': '58.51714000', 'n': 254, 'x': False, 'q': '115589.81279610', 'V': '28.09347000', 'Q': '55494.56993940', 'B': '0'}]
[1626188002697, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926176, 'o': '1975.76000000', 'c': '1973.83000000', 'h': '1975.84000000', 'l': '1973.67000000', 'v': '93.63458000', 'n': 306, 'x': False, 'q': '184915.87863940', 'V': '29.36826000', 'Q': '58010.97903870', 'B': '0'}]
[1626188005028, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926190, 'o': '1975.76000000', 'c': '1973.89000000', 'h': '1975.84000000', 'l': '1973.61000000', 'v': '105.11692000', 'n': 320, 'x': False, 'q': '207580.57840530', 'V': '40.18616000', 'Q': '79364.22177520', 'B': '0'}]
[1626188005028, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926190, 'o': '1975.76000000', 'c': '1973.89000000', 'h': '1975.84000000', 'l': '1973.61000000', 'v': '105.11692000', 'n': 320, 'x': False, 'q': '207580.57840530', 'V': '40.18616000', 'Q': '79364.22177520', 'B': '0'}]
[1626188007456, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926242, 'o': '1975.76000000', 'c': '1973.06000000', 'h': '1975.84000000', 'l': '1973.05000000', 'v': '148.08314000', 'n': 372, 'x': False, 'q': '292378.91632890', 'V': '44.13126000', 'Q': '87148.60110360', 'B': '0'}]
[1626188007456, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926242, 'o': '1975.76000000', 'c': '1973.06000000', 'h': '1975.84000000', 'l': '1973.05000000', 'v': '148.08314000', 'n': 372, 'x': False, 'q': '292378.91632890', 'V': '44.13126000', 'Q': '87148.60110360', 'B': '0'}]
[1626188009601, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926254, 'o': '1975.76000000', 'c': '1973.17000000', 'h': '1975.84000000', 'l': '1973.05000000', 'v': '153.52253000', 'n': 384, 'x': False, 'q': '303111.25981520', 'V': '44.61284000', 'Q': '88098.84186420', 'B': '0'}]
[1626188009601, 'ETHUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'ETHUSDT', 'i': '1m', 'f': 517925871, 'L': 517926254, 'o': '1975.76000000', 'c': '1973.17000000', 'h': '1975.84000000', 'l': '1973.05000000', 'v': '153.52253000', 'n': 384, 'x': False, 'q': '303111.25981520', 'V': '44.61284000', 'Q': '88098.84186420', 'B': '0'}]
